 12/Mar/2015, 14:30:59:029, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:31:48:689, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:32:43:765, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:32:45:707, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:32:45:749, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:33:04:379, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:33:15:114, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:33:19:827, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:37:44:954, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:37:46:897, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:37:46:940, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:39:15:152, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:45:40:618, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:50:57:615, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:51:21:499, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:51:32:887, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:52:10:471, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:52:12:418, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:52:12:471, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:52:23:596, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 14:52:55:656, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 15:13:44:077, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 15:13:46:023, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 15:13:46:067, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 15:47:36:285, 9, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 15:47:51:460, 9, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 15:48:36:558, 9, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 15:59:28:139, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 12/Mar/2015, 16:00:49:797, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 13/Mar/2015, 15:42:32:060, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 13/Mar/2015, 17:02:56:235, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 12:46:37:929, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 15:41:39:873, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 15:41:51:857, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 15:43:56:003, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 15:46:06:649, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 19:05:01:272, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 19:06:21:735, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 19:06:29:589, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 19:08:41:121, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 19:11:36:590, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 19:11:38:890, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Mar/2015, 19:11:38:942, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 18/Mar/2015, 11:51:11:218, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 18/Mar/2015, 14:06:31:788, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 18/Mar/2015, 14:06:34:686, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 18/Mar/2015, 14:06:34:732, 3, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 15:44:15:249, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 16:42:43:573, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 16:43:07:581, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 16:43:10:929, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 17:18:35:417, 1, ERROR, CypressSolutionsConfigurationTool.Program, Connect, System.NullReferenceException: Object reference not set to an instance of an object.
   at System.Windows.Forms.Layout.LayoutEngine.CastToArrangedElement(Object obj)
   at System.Windows.Forms.TableLayoutSettings.SetCellPosition(Object control, Int32 row, Int32 column, Boolean rowSpecified, Boolean colSpecified)
   at System.Windows.Forms.TableLayoutSettings.SetColumn(Object control, Int32 column)
   at System.Windows.Forms.TableLayoutPanel.SetColumn(Control control, Int32 column)
   at System.Windows.Forms.TableLayoutControlCollection.Add(Control control, Int32 column, Int32 row)
   at CypressSolutionsConfigurationTool.GUI.CySerialDeviceEditor.InitializeComponent()
   at CypressSolutionsConfigurationTool.GUI.CySerialDeviceEditor..ctor(CyUsbSerialUtilityViewModel viewModel, ILogger logger)
   at CypressSolutionsConfigurationTool.GUI.UsbSerialConfigUtility.Connect()
 19/Mar/2015, 17:20:26:599, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 17:20:42:802, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 17:21:30:343, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 17:21:48:664, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 17:27:47:098, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 17:27:57:429, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 17:28:02:579, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 19/Mar/2015, 17:28:09:584, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 25/Mar/2015, 10:47:59:441, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 25/Mar/2015, 10:48:15:103, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 30/Mar/2015, 11:23:58:066, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 31/Mar/2015, 13:57:45:004, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 07/Apr/2015, 15:11:34:896, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 07/Apr/2015, 19:01:55:280, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 07/Apr/2015, 19:44:13:520, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 08/Apr/2015, 15:13:16:548, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 08/Apr/2015, 18:33:12:157, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 08/Apr/2015, 19:20:15:554, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 15/Apr/2015, 17:04:15:969, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 17/Apr/2015, 12:44:24:045, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 21/Apr/2015, 11:52:31:859, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 21/Apr/2015, 12:37:41:398, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 21/Apr/2015, 12:44:21:403, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 21/Apr/2015, 12:44:29:381, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 21/Apr/2015, 12:44:35:247, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 21/Apr/2015, 13:38:55:222, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 21/Apr/2015, 13:52:16:481, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 21/Apr/2015, 13:52:26:198, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 21/Apr/2015, 17:17:15:193, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 27/Apr/2015, 11:38:56:259, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 04/May/2015, 11:54:09:777, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 13/May/2015, 16:54:39:421, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 13/May/2015, 16:54:43:224, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 14/May/2015, 11:31:01:096, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 14/May/2015, 11:33:47:578, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 14/May/2015, 11:33:51:912, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 14/May/2015, 11:34:23:939, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 14/May/2015, 11:34:57:352, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
 14/May/2015, 11:35:33:585, 1, INFO , CypressSolutionsConfigurationTool.Program, ProgramDeviceConfig, CY_SUCCESS
